"","V1","V2","V3","V4","V5"
"result.1",-52995.6221022756,-56975.4034582969,-58162.8881243438,-58009.5026272843,-57881.5620995742
"result.2",-60215.9809521741,-63852.7928857774,-65431.7254228712,-65268.0559759675,-65129.9516178023
"result.3",-52595.2522382754,-57013.3081482068,-58126.3550902555,-58005.8347436959,-57930.445346129
"result.4",-60318.7683407741,-63765.4345628517,-65041.7631760951,-64937.5393918056,-64750.0827669473
"result.5",-59351.4664462882,-62770.5418353388,-63755.735584987,-63608.5967326121,-63408.4674710424
"result.6",-58356.18464106,-63411.1145398091,-64930.2996338906,-64832.4264328947,-64742.1325217662
"result.7",-51600.8172549729,-54834.1208177087,-55707.3111586929,-55539.3984894791,-55484.6662505542
"result.8",-62178.1130232384,-67171.3794734595,-68922.6189575155,-68760.0783471081,-68623.0830303879
"result.9",-61894.0581069481,-65450.9559345461,-66196.2118205873,-66072.6183723498,-65900.3618408894
"result.10",-60825.5602387785,-64097.0996123501,-64905.2296750158,-64734.7799573338,-64557.6503565262
"result.11",-58487.2780648678,-62909.4551361442,-64743.2602308448,-64649.804661219,-64530.4155187317
"result.12",-58095.7341699888,-62594.7289261844,-63491.2420305401,-63414.832675857,-63285.9053686583
"result.13",-49135.2860181512,-54055.8243542295,-55087.4744487963,-54980.2821053859,-54923.9967286745
"result.14",-60770.8298308644,-64330.5968905174,-65308.3311552814,-65121.2761137356,-64992.1025229836
"result.15",-60243.9077360103,-64913.7932800765,-66568.5289153349,-66493.7314773738,-66356.6906040306
"result.16",-60003.0640569085,-63558.643551707,-64467.0004429659,-64293.2421300564,-64113.9961194826
"result.17",-58477.204739604,-62037.6516230029,-62966.4273791298,-62789.2610606411,-62628.54230658
"result.18",-58315.3856051049,-62743.344950477,-64210.9632690848,-64098.1597525668,-64051.0464688889
"result.19",-58324.6731881284,-62467.0667483745,-63543.5703861178,-63402.9341033627,-63320.0585417195
"result.20",-55954.8882137101,-61039.1616379437,-62438.949136955,-62348.7096061416,-62303.1268514649
"result.21",-47967.221873876,-52490.4130316542,-53872.0576502441,-53741.1790638804,-53637.6875653808
"result.22",-58638.3947009304,-62753.4202247017,-63992.6717608941,-63868.1831452087,-63802.5455149312
"result.23",-58032.1558772689,-62979.824906775,-64194.0305795601,-64092.9065096308,-63965.5081041599
"result.24",-57060.6254810337,-61705.1795820026,-63295.9366898225,-63182.8769700363,-63160.5693952427
"result.25",-62293.4596175067,-65479.6805202927,-66054.2100696031,-65867.5699763942,-65710.5200418015
"result.26",-61450.2337612073,-63849.4659145719,-64741.067179653,-64586.3359868761,-64424.0249646258
"result.27",-56226.0260159364,-61368.9809230349,-62588.679316947,-62417.3114100565,-62353.5242052477
"result.28",-56812.109067821,-60772.8536181988,-62233.5388411488,-62127.7368470025,-62048.5899126592
"result.29",-57166.2220236854,-61317.414636602,-62771.8348546797,-62651.4329047433,-62595.419463244
"result.30",-53576.7764878828,-57983.8557274746,-59575.5682217914,-59416.4287018583,-59395.8199920718
"result.31",-48137.5034742302,-53064.9919121273,-54529.4021699093,-54434.1502976872,-54409.4717063391
"result.32",-57685.2221416465,-61246.9200602688,-62563.8145149053,-62386.7850156373,-62290.7844432248
"result.33",-57862.6248728194,-62237.4331132234,-63512.0695974919,-63443.3067796877,-63330.1945191783
"result.34",-55974.2278048078,-59913.4630620296,-61314.5566195924,-61199.0268964819,-61083.5373307343
"result.35",-56949.6328620066,-61584.1820992093,-62854.9028649714,-62773.0934838347,-62809.7188634297
"result.36",-60936.2552932766,-63475.7278616942,-64279.5183778633,-64098.8523222477,-63949.8189612322
"result.37",-63617.6361125305,-65087.2328793896,-65687.6731278008,-65520.2173489553,-65345.9388446836
"result.38",-57924.1073047893,-61691.5578644521,-63373.8450492922,-63233.6073408924,-63140.7220520138
"result.39",-53827.5001258598,-58007.5296910989,-59385.254169117,-59257.933537593,-59153.4446101244
"result.40",-57236.5194560479,-61622.7846570794,-63003.8073902012,-62873.1563116938,-62791.5637201799
"result.41",-54404.7533930515,-57856.6006590623,-59518.4634682798,-59383.1344330997,-59278.5452137526
"result.42",-54009.3560408815,-58266.0185758018,-59959.0444906717,-59930.9558855204,-59854.8478183785
"result.43",-47388.718388662,-51341.3708664981,-52840.4969616227,-52723.7770902903,-52708.7801741442
"result.44",-57718.1230865188,-61296.5301927794,-62650.8230362551,-62519.6639653547,-62461.6124016275
"result.45",-55858.5577960774,-59245.142080389,-60636.1283095145,-60511.1275656923,-60401.8588624674
"result.46",-55510.7430059494,-59631.4413377179,-61173.6399364723,-61087.687022511,-61080.84742492
"result.47",-55638.8802165453,-59770.3279512441,-61161.6818526216,-61046.437432177,-60967.1080549058
"result.48",-57062.8525336186,-60912.1691843633,-62442.042829486,-62272.651458095,-62168.7061120416
"result.49",-62556.8177355409,-64701.3197444459,-65369.7585852388,-65178.3590895438,-65031.3186264392
"result.50",-64300.2787003027,-65287.3943667678,-65755.9057283198,-65607.0057597218,-65491.9294536965
"result.51",-60802.3688392327,-63670.6469857325,-65039.9129273206,-64866.6306444749,-64790.6640320157
"result.52",-55955.8370359406,-58943.6299949653,-60639.0882439942,-60503.127651152,-60483.706519887
"result.53",-54521.4713719124,-58127.1035320445,-59794.276683958,-59721.1103264625,-59733.8846769078
"result.54",-56008.1791132818,-59089.809131196,-60400.9430805253,-60280.1124934568,-60234.3046586102
"result.55",-54435.9837381673,-57666.9008901971,-59034.8399775648,-59003.4279612332,-58951.0520882519
"result.56",-54164.2023247177,-57452.1917458506,-59212.4131835642,-59121.8645134368,-59129.6980075623
"result.57",-47432.4132775014,-50984.3290822246,-52644.4297249853,-52571.3667981371,-52592.137840664
"result.58",-56965.6094777231,-60203.3062685197,-61799.0180785806,-61623.1460707567,-61582.4084065722
"result.59",-54468.8991445381,-57690.588828575,-59213.1161909666,-59205.7967023047,-59109.6119878542
"result.60",-54892.4851385874,-58052.6760161023,-59534.0405003623,-59396.6152836363,-59353.1222535655
"result.61",-56786.7147194442,-60624.8669297684,-62138.2185129368,-62014.7544482515,-61961.3926183325
"result.62",-55051.3373745058,-57784.7428586032,-59404.6893786275,-59247.7227508326,-59253.5374459546
"result.63",-58263.606148032,-61194.3815673146,-62607.4245153957,-62486.5562543216,-62418.2994534803
"result.64",-65264.5876282581,-66765.3569823432,-67307.2385597174,-67120.0646455177,-66949.2591950796
"result.65",-66141.5209124165,-66738.9078568221,-67293.8211212622,-67150.5673478918,-67010.9494083911
"result.66",-60741.8922910967,-62891.2599979858,-64019.3649771491,-63857.0482837592,-63833.0789565038
"result.67",-56994.0056984233,-59149.3812473976,-60571.8072987057,-60420.493331217,-60428.3616215567
"result.68",-56073.4402298268,-58660.7996876372,-60710.218797166,-60580.9461719908,-60635.2311557548
"result.69",-54693.7330876729,-57303.362596951,-59079.1362087998,-58952.8410128023,-58940.8170745923
"result.70",-54607.9585485488,-57126.8002717979,-58458.3308113563,-58338.1525146929,-58365.5106876149
"result.71",-54445.9884273593,-57353.5817265769,-58568.0511435391,-58467.7489078376,-58426.5305048141
"result.72",-54780.8810539018,-57659.5595966501,-59445.8714901676,-59371.9246623506,-59364.6581095224
"result.73",-47477.7625454524,-50653.6082566429,-52029.654042167,-51899.3520564435,-51873.410626507
"result.74",-57852.5110791805,-60735.8713954687,-62329.9579022463,-62195.1206546263,-62128.8159076775
"result.75",-54449.2544855587,-57306.2628768335,-58905.4256435963,-58788.2947501468,-58736.1299544239
"result.76",-54469.9799428769,-57141.0480949727,-58610.513317517,-58475.859309036,-58519.1700831988
"result.77",-56846.0304672912,-59532.52187724,-61247.6869028863,-61127.8820431057,-61083.9270112358
"result.78",-55028.4702788914,-57525.4726337776,-59549.0305600088,-59395.7232936955,-59424.2171951567
"result.79",-56534.8716677994,-58602.1128126812,-60098.6383224409,-59986.283154926,-59963.2263031357
"result.80",-62776.0991801156,-65050.54749284,-66153.0418358868,-66000.5682153183,-65931.9616472933
"result.81",-65628.7097621084,-66817.5542497522,-67358.4660989762,-67210.7743311953,-67052.8691796945
"result.82",-68201.3368131054,-68842.8115293351,-69199.6087820161,-69038.9681744377,-68886.5611920424
"result.83",-63307.8299841255,-64856.336404239,-65955.8919955219,-65775.7043564132,-65678.1358344142
"result.84",-57568.0909590415,-59137.945895231,-60172.4601149951,-60037.5425117121,-60015.1155099728
"result.85",-57008.7544471728,-58598.183375461,-60148.4701699616,-60020.2039184873,-60061.0639714304
"result.86",-57051.5502612295,-58891.2113695097,-60707.1885774306,-60573.0073185439,-60598.215370258
"result.87",-55054.4093667766,-56779.4776759136,-58745.8738894153,-58611.9420486929,-58649.1374134555
"result.88",-54945.5330239795,-56752.6176940724,-58076.6215097426,-57929.0288251678,-57982.7692482541
"result.89",-54699.455062896,-57004.4925164079,-58519.0347928067,-58425.1126351144,-58424.5907004255
"result.90",-55749.0534082764,-58171.3063883346,-59585.0327418424,-59435.0116987693,-59360.5080027726
"result.91",-47879.7865966067,-50563.6979949728,-52012.7617257219,-51897.6353052731,-51929.3784683693
"result.92",-59057.9782330793,-61454.1745438487,-62913.4256908527,-62738.6268336389,-62692.8834497879
"result.93",-55002.0065646926,-57385.125518533,-58737.6359564186,-58635.6477998278,-58628.5362870925
"result.94",-55092.7192062363,-57095.773509986,-58335.2590791841,-58195.4322214372,-58158.4038274754
"result.95",-56364.4531841657,-58043.7522809463,-59830.2240401613,-59685.9996987476,-59684.1645664467
"result.96",-56167.3938783906,-57850.9682959859,-59751.0947200702,-59611.2372520448,-59624.9625358098
"result.97",-56984.9254855618,-58514.363379671,-60228.4101158505,-60118.0627782111,-60131.5478067913
"result.98",-59881.242242221,-61141.2261152181,-62390.8022065449,-62242.7683466064,-62224.0214591312
"result.99",-64212.0599090412,-66212.1914601513,-67136.9583894168,-66980.991432866,-66856.3704456957
"result.100",-67068.0262337891,-67603.836868207,-68043.5877243841,-67929.1634424118,-67766.9881872812
"result.101",-68884.4032701868,-69239.9371460443,-69557.521433462,-69392.9183160127,-69235.9014961253
"result.102",-66695.8273549875,-68270.2447906768,-68954.8094757216,-68801.6263639839,-68658.5860937958
"result.103",-60988.6106273302,-62017.6504719555,-63121.9413108197,-62969.4177318705,-62909.2175275377
"result.104",-58468.0396569336,-59472.7248792054,-60598.7358162222,-60453.5561089262,-60521.231809918
"result.105",-57826.3492942626,-58947.2751029648,-60432.0126767296,-60270.3077590759,-60357.0614426313
"result.106",-57460.9070846599,-58754.001238186,-60300.6451509639,-60139.8772411832,-60159.9186451203
"result.107",-55762.4052158201,-56958.8502877034,-58480.6973746932,-58333.3456689173,-58268.3968772258
"result.108",-55040.9257434475,-56654.0302382095,-57931.221708064,-57785.5995349667,-57811.5248864131
"result.109",-56317.7839845006,-58151.4970845348,-59435.8584390195,-59289.9430827467,-59274.3244816304
"result.110",-56767.5845403812,-58695.7401264842,-60143.7663548323,-60019.0063082394,-60020.5611518608
"result.111",-48578.6950107594,-50606.3093823598,-51957.3496617954,-51825.3697359936,-51816.7571325444
"result.112",-59063.9447220868,-61170.9449357086,-62487.2848622991,-62323.0400427581,-62293.0904288532
"result.113",-56161.4815858384,-58055.4339448484,-59589.9385518173,-59447.5657509115,-59450.7422154102
"result.114",-54905.9358866718,-56121.0997342146,-57435.8439879396,-57286.9923341231,-57307.2199761433
"result.115",-56974.6518014398,-58108.4570586617,-59666.0562676077,-59503.9687120144,-59454.6706771873
"result.116",-56455.1630674279,-57633.762738357,-59452.0187475666,-59295.1569436047,-59348.4076446425
"result.117",-58065.0964771434,-59267.4244418757,-60615.2207707382,-60477.0587838017,-60529.8589094987
"result.118",-59247.1532715372,-60218.8149158005,-61567.077766018,-61408.8611412591,-61445.3306631986
"result.119",-60316.0267112645,-61793.9480732854,-62710.7323427071,-62533.3876349716,-62428.44776373
"result.120",-66108.7548504516,-67316.395824866,-68038.2238147341,-67875.3749261878,-67796.2402721103
"result.121",-68966.912683302,-69187.4734512058,-69744.1488308928,-69596.1295023885,-69417.8407233018
"result.122",-70236.9370937703,-70418.8124046798,-70842.1114523771,-70742.8564012725,-70571.3870683004
"result.123",-68149.6777462699,-69397.1092816161,-69952.387254796,-69774.2983987115,-69638.4123881149
"result.124",-63617.6303682832,-64556.8917790742,-65288.3091340921,-65137.2728678704,-65070.1809442003
"result.125",-61659.8583654833,-62187.3102203949,-63122.3409674452,-62967.6326145251,-62904.902312796
"result.126",-59926.2454764027,-60455.0559540799,-61680.0160925111,-61510.0645620472,-61451.0867330781
"result.127",-57960.1934222568,-58768.6743189238,-60103.3341001341,-59938.2393792213,-60004.0909695937
"result.128",-58378.9785620111,-59138.2582825096,-60486.5342960167,-60312.2829627189,-60353.242977681
"result.129",-55910.9064223014,-56603.8164547081,-58076.023302542,-57927.3995599761,-57937.3604360004
"result.130",-55674.6842950923,-56765.4026909008,-57998.6623131202,-57852.1901842996,-57834.8603262116
"result.131",-58098.3456329237,-59577.0708099684,-60682.394787192,-60563.4282415282,-60506.9833704942
"result.132",-57200.1781155667,-58612.7470557074,-59961.2935176548,-59802.0067309402,-59770.2800114338
"result.133",-50070.4808836232,-51579.0139907572,-52763.294370722,-52645.9176554876,-52646.2359355891
"result.134",-59061.05306732,-60723.7079071736,-62069.5698193868,-61901.4301721974,-61852.3895062521
"result.135",-57131.4675075826,-58541.3889045031,-60000.7399348023,-59859.6236798198,-59885.4649449961
"result.136",-55474.6434420317,-56504.8478804756,-57867.299038172,-57711.5500337312,-57717.7347656649
"result.137",-57119.6009205316,-58013.5664386484,-59317.5801642452,-59162.251147581,-59103.8510333868
"result.138",-58345.02559584,-58985.1386077366,-60364.0243760757,-60205.427596516,-60247.0454394655
"result.139",-58476.5599951344,-59243.6571025588,-60515.0882317945,-60371.7539123145,-60485.3597266707
"result.140",-59487.7703102808,-60066.5237739218,-61424.3977945566,-61257.3635758219,-61240.0215836228
"result.141",-60180.2614424805,-61099.3989400271,-62197.0419098889,-62029.7322374053,-61956.0144170806
"result.142",-62312.6347699105,-62992.6034709327,-63960.5817419991,-63801.5216499899,-63787.1485949546
"result.143",-69514.7513336995,-70354.7669946666,-70944.8334049803,-70747.9797766018,-70596.3616520907
"result.144",-69912.3308787661,-70031.659680011,-70354.3811516939,-70222.5553547271,-70037.6012602196
"result.145",-72263.6964449186,-72148.6676113727,-72401.6747980857,-72293.4105888506,-72120.78249216
"result.146",-70949.6814134392,-71810.9186589446,-72475.3633002293,-72348.2892135485,-72205.680827851
"result.147",-65240.3315962621,-65728.7768280114,-66345.1429721197,-66196.7431076815,-66075.1714591194
"result.148",-63627.6852481512,-64144.9144597596,-64887.0493484418,-64737.0817345472,-64713.4080463714
"result.149",-62612.0693099734,-62778.7230539535,-63673.9360673288,-63510.1974305433,-63452.8528726082
"result.150",-60429.4404710561,-60671.2512764818,-61868.0160461725,-61693.6884075452,-61644.4560733647
"result.151",-59700.8974586565,-60084.0620981219,-61265.7206726008,-61085.498369299,-61123.9461393444
"result.152",-59631.991060457,-60017.5917242096,-61155.3259751949,-60988.1651458975,-61008.5899430616
"result.153",-56848.8901253024,-57375.3066921856,-58549.2901457136,-58383.6349871038,-58396.1154051011
"result.154",-56798.9326047993,-57913.4153386156,-59032.7679497639,-58869.5569911736,-58897.2916447269
"result.155",-59274.8317160636,-60324.6348012957,-61435.6305129214,-61300.3173281811,-61277.3114038073
"result.156",-58817.5573119149,-59888.5162025831,-61072.703088528,-60897.6888263904,-60882.2674550079
"result.157",-50378.9367838725,-51532.9194318338,-52864.4810366397,-52719.3438834937,-52774.9281145272
"result.158",-60321.9928308341,-61675.1928933496,-62865.2137371047,-62701.9615832217,-62648.8186231319
"result.159",-58300.8486489116,-59374.850301537,-60666.0773610342,-60525.8409961604,-60473.983360375
"result.160",-57241.2197084289,-58173.7208222255,-59347.6165445107,-59173.3756806157,-59155.3037003852
"result.161",-57526.0728814884,-58168.8759296397,-59237.3460817349,-59076.0753444119,-59066.179648563
"result.162",-59247.4092246311,-59506.8044668457,-60656.0005490679,-60486.4831555751,-60527.2939926697
"result.163",-60217.2492468171,-60567.7055876002,-61625.0580259538,-61472.0477442116,-61464.1949197815
"result.164",-60242.7177809572,-60724.2503162197,-61880.2643019699,-61711.8724652014,-61686.38781881
"result.165",-62247.1490354761,-62569.1492894099,-63509.143350749,-63367.3192120681,-63337.6798556336
"result.166",-63033.7797110062,-63479.002772101,-64273.7284606865,-64145.9335219108,-64102.1839414947
"result.167",-65915.2898406605,-66497.2591459788,-67137.3205310061,-66971.6332046368,-66902.6025685298
"result.168",-70289.5384595942,-70928.6577630121,-71295.2199353715,-71106.8275642166,-70970.4659579952
"result.169",-70779.1174001159,-70812.8522049795,-71110.3956906826,-71021.4525213075,-70865.0230324843
"result.170",-72880.5416482845,-72724.8020147734,-72947.5143427526,-72847.3210192188,-72690.6842841165
"result.171",-73985.0429164863,-74362.1810096495,-74677.7380943993,-74498.1841632835,-74319.0365632218
"result.172",-68455.0376833681,-68850.1940325713,-69331.488825409,-69166.4428328163,-69051.8191816277
"result.173",-65034.898117061,-65280.2490863562,-66125.1346114744,-65978.9299576662,-65891.3002524942
"result.174",-64756.6670986436,-64813.4404532817,-65594.3228042088,-65459.4820191845,-65398.185831082
"result.175",-63473.685076448,-63507.3909063109,-64406.4840279103,-64225.1256764102,-64224.8332753549
"result.176",-61452.0699298884,-61523.6382756283,-62578.9281859338,-62418.7023077204,-62403.4027208135
"result.177",-62082.5055678038,-62221.6502721239,-63085.4969253684,-62904.71617152,-62872.7516157709
"result.178",-60100.9406584516,-60280.6695501943,-61103.7800374389,-60939.8259533149,-60907.6330357116
"result.179",-57530.3691951569,-57914.0092748271,-59064.6192033878,-58900.7350410007,-58891.8976692652
"result.180",-58371.2697768957,-59255.2145952242,-60320.6311644762,-60147.34975411,-60104.8907544967
"result.181",-59736.8887764296,-60696.2091230353,-61680.4003368653,-61507.4073908429,-61466.6066900265
"result.182",-59830.1345363645,-60677.1348405144,-61800.0437741917,-61629.9347994329,-61588.8262303862
"result.183",-51817.4673316631,-52654.2918200713,-53815.9509032127,-53676.79664437,-53663.3059778636
"result.184",-61140.5175718605,-62382.8712040913,-63540.2688785054,-63357.209509094,-63326.1176006269
"result.185",-60031.6250725354,-60862.6382167971,-62066.1175395734,-61919.1432312884,-61928.6609254511
"result.186",-58475.0874055397,-59165.2896602309,-60124.2906347694,-59944.1671355988,-59935.4118333945
"result.187",-57749.5208001606,-58273.7110475728,-59191.111854976,-59019.5786384095,-59041.8818713437
"result.188",-59873.8977177437,-59994.8092506239,-60994.423030806,-60812.3691101814,-60839.9900518002
"result.189",-62267.8727917825,-62383.4763917834,-63190.965345339,-63014.619437365,-62981.7078291408
"result.190",-62072.9481716016,-62245.4369820193,-63304.8654368474,-63133.3021660243,-63069.9952984104
"result.191",-62633.2031123641,-62817.0805728991,-63708.548293063,-63563.0946086973,-63540.0119817256
"result.192",-64763.1401998053,-64878.3081722132,-65611.3634856849,-65469.3258821354,-65427.021580719
"result.193",-66407.6403768907,-66531.8792387716,-67146.1927587346,-67016.2429466808,-66899.0156095855
"result.194",-68082.2666383749,-68236.0073573865,-68584.7157000161,-68422.6690866245,-68321.613172508
"result.195",-71460.4559006612,-72278.52861725,-72728.6647345528,-72562.2641510994,-72387.4219634883
"result.196",-72371.7642711944,-72184.2608237647,-72494.8874953082,-72447.5099324,-72314.6234258124
"result.197",-74145.3149768719,-74030.6234057061,-74230.1435328502,-74085.1973605713,-73910.3757594057
"result.198",-73253.6889236674,-73605.1170024424,-73987.1912992011,-73809.848307941,-73651.4139447994
"result.199",-70658.5405726921,-70782.1274862632,-71200.0376609791,-71041.4855970284,-70899.3311356063
"result.200",-68526.5946418987,-68549.8777886684,-68950.6582354975,-68809.6728315614,-68704.6250932455
"result.201",-66711.6406378128,-66676.569591178,-67433.5318085222,-67289.933278292,-67178.6898548273
"result.202",-65757.0689144797,-65742.0323422016,-66369.8605770835,-66239.1498539355,-66154.9592364014
"result.203",-64577.8669607207,-64541.812168992,-65261.8521854943,-65081.8391531575,-65008.4020136451
"result.204",-64115.6684914431,-64077.5538079268,-64819.0243233261,-64657.8597755088,-64614.6997681492
"result.205",-63120.7336802334,-63119.3811490566,-63807.9244609312,-63648.7975913899,-63565.4176108512
"result.206",-60127.3984400413,-60213.6489970065,-61073.5658497034,-60916.7894800554,-60881.1923480697
"result.207",-58583.0576202444,-58909.4693893941,-59870.0033379103,-59697.7888910031,-59666.9678122852
"result.208",-59488.0419576046,-60279.8591683938,-61228.2249074022,-61047.2156696032,-61003.3783398872
"result.209",-61478.4203654295,-62225.1854404167,-62989.5251292585,-62810.4694214037,-62780.569018841
"result.210",-60976.5237386557,-61743.5122079285,-62650.9662980826,-62499.1605830952,-62455.8059121949
"result.211",-52957.3190911897,-53643.012037113,-54665.8215322429,-54510.60800635,-54474.6108924791
"result.212",-61842.135030586,-62881.2774960509,-63750.0937861059,-63585.0499734487,-63501.8211637597
"result.213",-60961.7995450177,-61578.586971721,-62539.0412215311,-62381.1909696199,-62360.1190556996
"result.214",-59938.1547858869,-60473.2911986244,-61567.8458594169,-61395.9926022489,-61392.6530125722
"result.215",-59020.9096102579,-59468.0816861903,-60400.1143662038,-60219.9672636279,-60169.2903040228
"result.216",-59983.5645723284,-59964.0771907539,-60789.2694006737,-60616.0344037539,-60551.3517647462
"result.217",-62992.0002304558,-62964.3046067205,-63693.1346144583,-63518.8467016827,-63438.009761379
"result.218",-64076.6777953985,-64084.8623609923,-64999.4282980173,-64848.8030044571,-64818.5227864804
"result.219",-63739.0376546899,-63837.7064042908,-64449.6730091662,-64296.8686109219,-64206.183572217
"result.220",-65882.2599249058,-65829.0011522915,-66508.4288233654,-66368.8759039513,-66327.4884264173
"result.221",-68146.4371561673,-68097.2384953524,-68430.4195528939,-68297.5563518518,-68185.9682555794
"result.222",-67942.2876168999,-67994.8730049455,-68447.1930674592,-68336.0383367885,-68246.734140649
"result.223",-69510.2106186812,-69874.725897277,-70326.581773199,-70211.2156222307,-70108.6710540758
"result.224",-75009.767478824,-75333.6643930804,-75752.8382806691,-75576.5630380293,-75390.3204450307
"result.225",-73553.7603239376,-73332.9057634513,-73625.1311878436,-73540.3671395677,-73339.671774516
"result.226",-74368.3079973664,-74146.7414014731,-74335.1754359182,-74216.8566479398,-74052.9514043066
"result.227",-74961.1046228383,-75331.14913961,-75669.3237885806,-75460.8471688406,-75308.5847124827
"result.228",-71659.1296905625,-71842.7798058269,-72156.0847044047,-72067.9626688155,-71972.3981330095
"result.229",-70463.0966309584,-70489.2825062714,-70768.4982237653,-70629.0536141687,-70514.8599129539
"result.230",-70365.7980031911,-70219.9180004205,-70487.1879902821,-70323.5970194058,-70209.5003520195
"result.231",-68440.6357498722,-68327.6864802705,-69019.986991328,-68900.1304206828,-68769.4025224077
"result.232",-66527.8075756313,-66492.5714626828,-66971.4967027281,-66815.5461217588,-66699.6566607966
"result.233",-66645.4980532715,-66544.2788216046,-67033.5017958182,-66877.2888694671,-66764.9243452122
"result.234",-65716.0207056746,-65603.7001550746,-66226.0113409539,-66073.7471841091,-65960.123860034
"result.235",-63666.7351646753,-63556.9935829217,-64122.2956440476,-63975.3224008269,-63915.5378408445
"result.236",-60975.3388923211,-60941.674861003,-61670.020297663,-61497.648934187,-61455.4056750979
"result.237",-60339.843757796,-60437.2067693048,-61355.1961569309,-61203.7361010247,-61218.8059738602
"result.238",-61164.7101524303,-61681.0669342069,-62496.5079490467,-62314.658469685,-62246.4076250285
"result.239",-62460.2616316231,-62958.2240705385,-63753.7786905027,-63574.0563398097,-63496.6974571238
"result.240",-62240.9295614077,-62745.8981012916,-63443.1160557016,-63268.6557277077,-63206.6068838368
"result.241",-54030.9497025232,-54510.9984710887,-55440.9392748518,-55277.8870324857,-55222.4874596672
"result.242",-62610.416157635,-63413.3379799,-64348.7472440998,-64170.5693859633,-64172.7224795957
"result.243",-62737.2429363289,-63215.8730608087,-64068.6452708574,-63883.5951328386,-63864.3889739662
"result.244",-62003.2142350798,-62366.9882675429,-63190.2312684943,-63010.2885466929,-62950.0467462262
"result.245",-60457.3953901972,-60767.4131671604,-61762.8216566591,-61586.654602448,-61501.6180420654
"result.246",-61286.9973638877,-61235.6836575819,-61895.797817749,-61726.7665949747,-61701.3867730616
"result.247",-63731.1690367308,-63604.2047797305,-64183.3723638985,-64022.5220558782,-64022.1436941442
"result.248",-65683.2136560456,-65636.8975229093,-66150.0776859419,-66015.318745979,-65869.0135298669
"result.249",-65994.2440545781,-65923.1493861271,-66537.6579411235,-66390.7890661178,-66354.1080235926
"result.250",-66687.012997481,-66582.9761418235,-67150.1431993029,-67028.3540187913,-66930.918856914
"result.251",-68781.1215568787,-68648.3275654618,-69146.0661535196,-69021.2397797686,-68897.2656144155
"result.252",-69486.5259891269,-69400.2016531019,-69765.0398000986,-69632.0314557294,-69564.461936955
"result.253",-70760.7533802808,-70737.6161538187,-71091.2859192417,-70995.551048036,-70935.4789154017
"result.254",-71958.5278105953,-72050.4015032711,-72400.5743691876,-72256.999560475,-72123.8403288959
"result.255",-76783.3133873663,-76873.0949391465,-77012.7780622411,-76845.1894705872,-76652.4080621195
"result.256",-74960.4028292851,-74759.6486245664,-74975.9646275798,-74915.9362196742,-74735.1917248996
"result.257",-75658.0865935572,-75448.5301507071,-75649.2550094101,-75559.1490564344,-75420.1817037826
"result.258",-76913.2436415448,-76967.9994588097,-77344.115986008,-77168.7414137976,-77016.7775554982
"result.259",-72983.7203097683,-73168.0408133304,-73553.3126968436,-73392.4552059824,-73281.3788236516
"result.260",-72167.3346692598,-72092.4364079153,-72471.14823311,-72334.0316520495,-72226.4594345468
"result.261",-71118.8279010314,-71024.6762427797,-71266.9318447149,-71151.2609087435,-71012.0368028009
"result.262",-71493.316891806,-71296.401636972,-71719.4863410024,-71599.6259045109,-71482.1004754051
"result.263",-68690.2834797294,-68608.3333200211,-69045.9489123324,-68897.0073404701,-68819.1563552095
"result.264",-68001.2897922989,-67826.0325904418,-68286.834353241,-68164.9792470988,-68076.4014135174
"result.265",-68153.0478117396,-68036.3495898024,-68477.5013386228,-68322.9091643588,-68228.794333222
"result.266",-66799.0618857701,-66652.7545591533,-67122.1468158856,-66996.431249534,-66906.3123277097
"result.267",-64441.3663851224,-64288.5745257017,-64699.0190851539,-64534.3285157094,-64421.0365787347
"result.268",-62080.5604642919,-61972.0649403621,-62637.9698368892,-62462.7694377122,-62416.2032686547
"result.269",-62055.7293622429,-62146.9123790018,-62884.6975268701,-62733.5629935066,-62718.8965199413
"result.270",-62507.7821358167,-62851.1767555971,-63617.1219592171,-63420.0136747138,-63370.2980743664
"result.271",-64121.2185328021,-64465.1381184327,-65170.082362811,-64982.0850625261,-64873.3762333162
"result.272",-63466.6975983791,-63840.6009334711,-64496.2389789051,-64313.7574697883,-64223.9175273032
"result.273",-55238.8000977385,-55598.4481692301,-56396.7236195271,-56254.8157817576,-56203.7103739982
"result.274",-63582.8045055656,-64104.3268586153,-64867.0537247521,-64679.200629979,-64637.1469429911
"result.275",-63580.5951016656,-63957.6538397881,-64895.9176316821,-64715.4525468868,-64680.3017243754
"result.276",-63116.2940377272,-63274.6250600839,-64079.9609784637,-63906.2675591558,-63829.8662093518
"result.277",-62066.9727060682,-62225.1720445345,-62935.3794782128,-62768.9955959979,-62737.6482131508
"result.278",-62073.5674203598,-61970.4895170452,-62613.0224146106,-62444.4515870329,-62409.6837054567
"result.279",-64097.5623060984,-63970.8044039518,-64412.7006920198,-64283.8469876819,-64185.7620307074
"result.280",-66172.2606412525,-66002.786498749,-66500.2953796704,-66412.1244533484,-66323.2896533223
"result.281",-67673.909549689,-67560.7701145406,-68090.4428668711,-67960.5772202024,-67860.1064373128
"result.282",-68270.7930033714,-68113.3086390303,-68552.728546405,-68420.7230833527,-68304.6074206906
